itemID	actual_category	userID	Rating	Gender
0	Food & Restaurants|Drinks & Spirits	0	5	F
0	Food & Restaurants|Drinks & Spirits	1	4	F
0	Food & Restaurants|Drinks & Spirits	2	5	F
0	Food & Restaurants|Drinks & Spirits	3	3	M
0	Food & Restaurants|Drinks & Spirits	4	3	F
0	Food & Restaurants|Drinks & Spirits	5	3	M
0	Food & Restaurants|Drinks & Spirits	6	2	F
0	Food & Restaurants|Drinks & Spirits	7	4	M
0	Food & Restaurants|Drinks & Spirits	8	5	M
0	Food & Restaurants|Drinks & Spirits	9	3	M
0	Food & Restaurants|Drinks & Spirits	10	5	F
0	Food & Restaurants|Drinks & Spirits	11	2	F
0	Food & Restaurants|Drinks & Spirits	12	5	M
0	Food & Restaurants|Drinks & Spirits	13	3	M
0	Food & Restaurants|Drinks & Spirits	14	2	M
0	Food & Restaurants|Drinks & Spirits	15	4	M
0	Food & Restaurants|Drinks & Spirits	16	4	F
0	Food & Restaurants|Drinks & Spirits	17	3	F
0	Food & Restaurants|Drinks & Spirits	18	4	M
0	Food & Restaurants|Drinks & Spirits	19	4	M
0	Food & Restaurants|Drinks & Spirits	20	4	F
0	Food & Restaurants|Drinks & Spirits	21	4	F
0	Food & Restaurants|Drinks & Spirits	22	4	F
0	Food & Restaurants|Drinks & Spirits	23	4	F
0	Food & Restaurants|Drinks & Spirits	24	4	F
0	Food & Restaurants|Drinks & Spirits	25	4	F
0	Food & Restaurants|Drinks & Spirits	26	3	M
0	Food & Restaurants|Drinks & Spirits	27	5	F
0	Food & Restaurants|Drinks & Spirits	28	3	M
0	Food & Restaurants|Drinks & Spirits	29	3	M
0	Food & Restaurants|Drinks & Spirits	30	3	M
0	Food & Restaurants|Drinks & Spirits	31	4	F
0	Food & Restaurants|Drinks & Spirits	32	2	M
0	Food & Restaurants|Drinks & Spirits	33	3	F
0	Food & Restaurants|Drinks & Spirits	34	2	M
0	Food & Restaurants|Drinks & Spirits	35	3	M
0	Food & Restaurants|Drinks & Spirits	36	4	F
0	Food & Restaurants|Drinks & Spirits	37	4	F
0	Food & Restaurants|Drinks & Spirits	38	1	M
1	Food & Restaurants|Drinks & Spirits	39	4	M
1	Food & Restaurants|Drinks & Spirits	40	3	M
1	Food & Restaurants|Drinks & Spirits	41	3	M
1	Food & Restaurants|Drinks & Spirits	42	3	M
1	Food & Restaurants|Drinks & Spirits	43	3	M
1	Food & Restaurants|Drinks & Spirits	44	3	F
1	Food & Restaurants|Drinks & Spirits	45	5	F
1	Food & Restaurants|Drinks & Spirits	46	3	F
1	Food & Restaurants|Drinks & Spirits	47	4	F
1	Food & Restaurants|Drinks & Spirits	48	4	M
1	Food & Restaurants|Drinks & Spirits	49	5	M
1	Food & Restaurants|Drinks & Spirits	50	1	F
1	Food & Restaurants|Drinks & Spirits	51	5	F
1	Food & Restaurants|Drinks & Spirits	52	1	F
1	Food & Restaurants|Drinks & Spirits	53	3	M
1	Food & Restaurants|Drinks & Spirits	54	4	F
1	Food & Restaurants|Drinks & Spirits	55	5	F
1	Food & Restaurants|Drinks & Spirits	56	4	M
1	Food & Restaurants|Drinks & Spirits	57	4	M
1	Food & Restaurants|Drinks & Spirits	58	3	F
1	Food & Restaurants|Drinks & Spirits	59	3	F
1	Food & Restaurants|Drinks & Spirits	60	2	M
1	Food & Restaurants|Drinks & Spirits	61	5	F
1	Food & Restaurants|Drinks & Spirits	62	3	F
1	Food & Restaurants|Drinks & Spirits	3	3	M
1	Food & Restaurants|Drinks & Spirits	63	4	M
1	Food & Restaurants|Drinks & Spirits	64	4	F
1	Food & Restaurants|Drinks & Spirits	12	5	M
1	Food & Restaurants|Drinks & Spirits	65	5	F
1	Food & Restaurants|Drinks & Spirits	66	4	M
1	Food & Restaurants|Drinks & Spirits	67	4	M
