,userID,iid,Rating,label,Gender
0,101,177,4,1,0
1,101,289,4,1,0
2,101,153,4,1,0
3,101,361,4,1,0
4,101,321,4,1,0
5,101,723,4,1,0
6,101,984,4,1,0
7,101,60,3,1,0
8,101,950,4,1,0
9,101,140,4,1,0
10,101,113,4,1,0
11,101,136,3,1,0
12,101,1025,3,1,0
13,101,311,4,1,0
14,101,347,4,1,0
15,101,240,5,1,0
16,101,111,5,1,0
17,101,52,4,1,0
18,101,31,4,1,0
19,101,297,5,1,0
20,101,320,4,1,0
21,101,88,5,1,0
22,101,367,5,1,0
23,101,489,3,1,0
24,101,490,4,1,0
25,101,568,5,1,0
26,101,355,5,1,0
27,101,986,5,1,0
28,101,68,3,1,0
29,101,402,3,1,0
30,101,95,3,1,0
31,845,722,2,1,0
32,845,488,3,1,0
33,845,405,3,1,0
34,845,445,5,1,0
35,845,842,4,1,0
36,845,771,4,1,0
37,845,698,4,1,0
38,845,450,4,1,0
39,845,402,4,1,0
40,845,415,3,1,0
41,845,83,3,1,0
42,845,302,3,1,0
43,845,11,3,1,0
44,845,364,5,1,0
45,845,136,5,1,0
46,845,388,4,1,0
47,845,124,3,1,0
48,845,175,3,1,0
49,845,336,3,1,0
50,845,956,2,1,0
51,845,1009,4,1,0
52,845,265,3,1,0
53,845,1171,3,1,0
54,845,268,4,1,0
55,845,637,3,1,0
56,845,188,3,1,0
57,845,298,4,1,0
58,845,41,3,1,0
59,845,1038,2,1,0
60,845,1083,2,1,0
61,845,529,3,1,0
62,845,165,3,1,0
63,845,198,4,1,0
64,845,848,4,1,0
65,845,158,3,1,0
66,845,499,4,1,0
67,845,305,5,1,0
68,845,153,5,1,0
69,845,500,4,1,0
70,845,73,4,1,0
71,845,267,4,1,0
72,845,761,4,1,0
73,845,1067,2,1,0
74,845,1111,3,1,0
75,845,350,3,1,0
76,845,833,3,1,0
77,845,687,1,1,0
78,845,914,2,1,0
79,845,306,3,1,0
80,845,514,3,1,0
81,845,811,3,1,0
82,845,1011,4,1,0
83,845,1125,2,1,0
84,845,1123,3,1,0
85,845,412,4,1,0
86,845,644,4,1,0
87,845,562,4,1,0
88,845,1139,1,1,0
89,845,196,3,1,0
90,845,278,4,1,0
91,845,695,4,1,0
92,845,878,2,1,0
93,845,1304,3,1,0
94,845,916,3,1,0
95,845,895,3,1,0
96,845,560,4,1,0
97,845,1317,1,1,0
98,845,549,4,1,0
99,845,444,3,1,0
100,845,780,2,1,0
101,845,1138,1,1,0
102,845,462,3,1,0
103,845,561,2,1,0
104,845,907,2,1,0
105,845,228,3,1,0
106,845,789,2,1,0
107,845,649,3,1,0
108,845,97,4,1,0
109,845,949,3,1,0
110,845,505,1,1,0
111,845,508,2,1,0
112,845,512,2,1,0
113,845,798,2,1,0
114,845,759,3,1,0
115,845,996,3,1,0
116,845,1296,1,1,0
117,845,521,5,1,0
118,845,764,3,1,0
119,845,333,3,1,0
120,845,29,4,1,0
121,845,250,5,1,0
