movieId	Genre	itemID
1193	Drama	0
661	Animation|Children's|Musical	1
914	Musical|Romance	2
3408	Drama	3
2355	Animation|Children's|Comedy	4
1197	Action|Adventure|Comedy|Romance	5
1287	Action|Adventure|Drama	6
2804	Comedy|Drama	7
594	Animation|Children's|Musical	8
919	Adventure|Children's|Drama|Musical	9
595	Animation|Children's|Musical	10
938	Musical	11
2398	Drama	12
2918	Comedy	13
1035	Musical	14
2791	Comedy	15
2687	Animation|Children's	16
2018	Animation|Children's	17
3105	Drama	18
2797	Comedy|Fantasy	19
2321	Comedy	20
720	Animation	21
1270	Comedy|Sci-Fi	22
527	Drama|War	23
2340	Romance	24
48	Animation|Children's|Musical|Romance	25
1097	Children's|Drama|Fantasy|Sci-Fi	26
1721	Drama|Romance	27
1545	Drama	28
745	Animation|Comedy|Thriller	29
2294	Animation|Children's	30
3186	Drama	31
1566	Adventure|Animation|Children's|Comedy|Musical	32
588	Animation|Children's|Comedy|Musical	33
1907	Animation|Children's	34
783	Animation|Children's|Musical	35
1836	Drama	36
1022	Animation|Children's|Musical	37
2762	Thriller	38
150	Drama	39
1	Animation|Children's|Comedy	40
1961	Drama	41
1962	Drama	42
2692	Action|Crime|Romance	43
260	Action|Adventure|Fantasy|Sci-Fi	44
1028	Children's|Comedy|Musical	45
1029	Animation|Children's|Musical	46
1207	Drama	47
2028	Action|Drama|War	48
531	Children's|Drama	49
3114	Animation|Children's|Comedy	50
608	Crime|Drama|Thriller	51
1246	Drama	52
1357	Drama|Romance	53
3068	Drama	54
1537	Comedy	55
647	Drama|War	56
2194	Action|Crime|Drama	57
648	Action|Adventure|Mystery	58
2268	Crime|Drama	59
2628	Action|Adventure|Fantasy|Sci-Fi	60
1103	Drama	61
2916	Action|Adventure|Sci-Fi|Thriller	62
3468	Drama	63
1210	Action|Adventure|Romance|Sci-Fi|War	64
1792	Action|Thriller	65
1687	Action|Thriller	66
1213	Crime|Drama	67
3578	Action|Drama	68
2881	Action|Thriller	69
3030	Comedy|Drama|Western	70
1217	Drama|War	71
434	Action|Adventure|Crime	72
2126	Action|Crime|Mystery|Thriller	73
3107	Action|Drama	74
3108	Comedy|Drama|Romance	75
3035	Comedy|Drama|War	76
1253	Drama|Sci-Fi	77
1610	Action|Thriller	78
292	Action|Drama|Thriller	79
2236	Drama	80
3071	Drama	81
902	Drama|Romance	82
368	Action|Comedy|Western	83
1259	Adventure|Comedy|Drama	84
3147	Drama|Thriller	85
1544	Action|Adventure|Sci-Fi|Thriller	86
1293	Drama	87
1188	Comedy|Romance	88
3255	Comedy|Drama	89
3256	Action|Thriller	90
3257	Action|Drama|Romance|Thriller	91
110	Action|Drama|War	92
2278	Action|Crime|Thriller	93
2490	Action|Thriller	94
1834	Drama|Thriller	95
3471	Drama|Sci-Fi	96
589	Action|Sci-Fi|Thriller	97
1690	Action|Horror|Sci-Fi	98
3654	Action|Drama|War	99
2852	Drama	100
1945	Crime|Drama	101
982	Drama	102
1873	Drama	103
2858	Comedy|Drama	104
1225	Drama	105
515	Drama	106
442	Action|Sci-Fi	107
2312	Drama	108
265	Drama|Romance	109
1408	Action|Romance|War	110
1084	Crime|Drama	111
3699	Adventure|Drama|Romance|Sci-Fi	112
480	Action|Adventure|Sci-Fi	113
1442	Drama	114
2067	Drama|Romance|War	115
1265	Comedy|Romance	116
1370	Action|Thriller	117
1801	Action|Drama|Romance	118
1372	Action|Adventure|Sci-Fi	119
2353	Action|Thriller	120
3334	Crime|Drama|Film-Noir|Thriller	121
2427	Action|Drama|War	122
590	Adventure|Drama|Western	123
1196	Action|Adventure|Drama|Sci-Fi|War	124
1552	Action|Adventure|Thriller	125
736	Action|Adventure|Romance|Thriller	126
1198	Action|Adventure	127
593	Drama|Thriller	128
2359	Comedy	129
