userID	Action	Thriller	Romance	Western	Children's	Mystery	Fantasy	Film-Noir	Documentary	Comedy	Adventure	Sci-Fi	Horror	Crime	Musical	War	Animation	Drama
0	0.029030959910759897	0.0387485176878698	0.05422115376455827	0.0	0.1288995878606216	0.0	0.017418604269015557	0.0	0.0	0.1286866719893907	0.024023270784037265	0.017418373881162505	0.0	0.015483122301636775	0.0879926293683603	0.019414771232627817	0.1482938797129855	0.2903684572369739
1	0.1576930052184726	0.08814137161168678	0.061217954845743404	0.009615375161829873	0.0	0.004807730898276286	0.0024038648962488645	0.002403838622149137	0.0	0.0897437245943787	0.04791677326667265	0.04631424337557398	0.0032051531949984858	0.0336538396689772	0.0	0.034294743317729366	0.0	0.4185883813272627
2	0.14796730676953374	0.05081288747068797	0.017886206551642636	0.069105510013729	0.013008193857297047	0.008130089748100386	0.014227626469756338	0.0	0.0	0.3463422242654396	0.17642265731041287	0.034146358222665506	0.012195120353856032	0.0	0.004878084922162218	0.00975607867334369	0.013008193857297047	0.08211346151407582
3	0.37647074440647565	0.0441176913148725	0.011764676429094924	0.02941178107264969	0.014705851418708043	0.0	0.02941173739620753	0.0	0.0	0.0	0.10686270771107155	0.1166666179706255	0.06372552095152477	0.0	0.0	0.043137239259527636	0.0	0.1637254320692423
4	0.07180308310618214	0.08071283014839767	0.07285148993651665	0.006289306171532833	0.012054459928555547	0.012054469770059417	0.0	0.005241005615335196	0.03773605747088443	0.1907752087831549	0.014150768542911966	0.018867822652448563	0.03354257460837009	0.042453045302177035	0.006813327510965741	0.015723156229078616	0.01048203479447611	0.36844935942895307
5	0.06052652837851189	0.011695811842704972	0.19122759864866018	0.07456188760907466	0.07865504541946627	0.0	0.011695892836701735	0.0	0.0	0.21461928869891753	0.02602331512300455	0.007894666270205518	0.0	0.008772023224338607	0.1195910921019538	0.019590652645751702	0.037719332391989345	0.13742686480871905
6	0.3613333860799711	0.2100001006999599	0.03666668856666139	0.0	0.0	0.0	0.0	0.0	0.0	0.029999966300036457	0.054666685213334294	0.09133324044671663	0.03999997839999104	0.026666655866670153	0.0	0.04799997874666101	0.0	0.10133331967999805
7	0.09851130015782691	0.07142844916189965	0.09255948432641672	0.002232165784748197	0.010416920391156567	0.011160696825252161	0.0	0.0	0.0	0.06175579087969983	0.01220238603077594	0.02931548793417955	0.004464301613932064	0.03794630451701332	0.004464272283566811	0.022618964014825226	0.014137315094329297	0.5267861609843778
8	0.06705866642445169	0.11666659468775077	0.08274508539869006	0.003921587576937052	0.021568631555646273	0.0029411756826685574	0.003921597145622414	0.0029411756826685574	0.023529426755470123	0.16862762004278312	0.018039197889284035	0.029803930972947746	0.003921561067094635	0.06372546977226017	0.0	0.029803787914441663	0.03137251471367353	0.3294119767176097
9	0.06509125444338909	0.02574825717068253	0.07575458239433303	0.003633418683351888	0.06200460973892991	0.008593861699080177	0.03431748214587243	0.004946006032428713	0.00633619575346637	0.2990471944060391	0.05141050623383344	0.06203173593743464	0.020590258093965884	0.0127298948321528	0.038129064245268726	0.014906988096510369	0.03430883287164888	0.180419857221612
10	0.02189787022729936	0.07025223223224523	0.07039683627652081	0.003038918722611392	0.024259892741457473	0.009856190727298996	0.004558420431446193	0.0	0.009117367284481454	0.4158407447667244	0.02194948744715113	0.007576777157457596	0.025768989466599283	0.03252373256376152	0.009096192164008482	0.010636281732259327	0.0030389187530005806	0.2601911473056768
